obs,Y,X
1959,58.5,47.2
1960,59.9,48
1961,61.7,49.8
1962,63.9,52.1
1963,65.3,54.1
1964,67.8,56.6
1965,69.3,58.6
1966,71.8,61
1967,73.7,62.3
1968,76.5,64.5
1969,77.6,64.8
1970,79,66.2
1971,80.5,68.8
1972,82.9,71
1973,84.7,73.1
1974,83.7,72.2
1975,84.5,74.8
1976,87,77.2
1977,88.1,78.4
1978,89.7,79.5
1979,90,79.7
1980,89.7,79.8
1981,89.8,81.4
1982,91.1,81.2
1983,91.2,84
1984,91.5,86.4
1985,92.8,88.1
1986,95.9,90.7
1987,96.3,91.3
1988,97.3,92.4
1989,95.8,93.3
1990,96.4,94.5
1991,97.4,95.9
1992,100,100
1993,99.9,100.1
1994,99.7,101.4
1995,99.1,102.2
1996,99.6,105.2
1997,101.1,107.5
1998,105.1,110.5
