"","serno","Gender","Age"
"2",29,"male",83
"21",29,"female",81
"3",5121,"male",45
"4",5121,"female",42
"5",5121,"male",7
"6",5943,"male",35
"7",5943,"female",34
"8",5943,"female",10
"9",5943,"male",7
"10",5943,"male",5
"11",6881,"male",20
"12",7273,"male",35
"13",7901,"female",34
"14",9553,"male",37
"15",9553,"female",5
"16",9553,"female",21
"17",13887,"female",41
"18",13887,"female",16
"19",13887,"male",18
"20",14743,"female",54
"211",14743,"female",13
"22",24145,"female",34
"23",24145,"male",35
"24",24145,"male",21
"25",28649,"female",31
"26",28649,"male",36
"27",28649,"male",1
"28",28649,"female",7
"29",31532,"male",68
"30",31532,"female",69
"31",32361,"female",79
"32",35557,"male",63
"33",35557,"female",52
"34",35557,"male",15
"35",35710,"male",54
"36",35710,"female",52
"37",35710,"female",18
"38",35710,"male",15
"39",35756,"male",58
"40",38285,"male",51
"41",39386,"male",33
"42",39386,"female",23
"43",39386,"female",3
"44",39386,"female",1
"45",39811,"female",54
"46",40965,"male",23
"47",40965,"female",23
"48",40965,"male",0
"49",41916,"female",51
"50",45309,"female",85
"51",48100,"female",85
"52",51380,"male",50
"53",51380,"female",42
"54",51380,"female",13
"55",52689,"male",25
"56",54824,"female",37
"57",54824,"male",37
"58",54824,"female",6
"59",54824,"female",10
"60",54824,"female",8
"61",55221,"male",48
"62",55221,"female",47
"63",55221,"female",16
"64",55221,"male",11
"65",56787,"male",85
"66",56787,"female",80
