obs,LRD,LSALES,PROFITS,PROFMARG,RD,RDINTENS,SALES,SALESSQ
1,6.06518,8.427312,186.9,4.09,430.6,9.42,4570.2,20900000
2,4.077538,7.948032,467,16.5,59,2.08,2830,8008900
3,3.157,6.391582,107.4,18,23.5,3.94,596.8,356170.2
4,1.252763,4.89485,-4.3,-3.22,3.5,2.62,133.6,17848.96
5,0.530628,3.73767,8,19.05,1.7,4.05,42,1764
6,2.128232,5.966147,47.3,12.13,8.4,2.15,390,152100
7,0.916291,4.542231,0.9,0.96,2.5,2.66,93.9,8817.21
8,3.686376,6.811134,77.4,8.53,39.9,4.39,907.9,824282.4
9,7.035269,9.892073,2563,12.96,1136,5.75,19773,3.91E+08
10,7.26403,10.58933,4154,10.46,1428,3.6,39709,1.58E+09
11,3.813307,7.984974,93.7,3.19,45.3,1.54,2936.5,8623032
12,4.177459,7.829551,355.4,14.14,65.2,2.59,2513.8,6319191
13,3.010621,7.025361,45.3,4.03,20.3,1.8,1124.8,1265175
14,2.747271,6.826111,4.1,0.44,15.6,1.69,921.6,849346.5
15,4.304065,7.796716,132.4,5.44,74,3.04,2432.6,5917543
16,4.993828,8.81789,329,4.87,147.5,2.18,6754,45600000
17,3.374169,6.97195,289.9,27.19,29.2,2.74,1066.3,1136996
18,4.52396,8.070875,163.2,5.1,92.2,2.88,3199.9,10200000
19,1.308333,5.010635,32.6,21.73,3.7,2.47,150,22500
20,2.965273,6.233822,83.8,16.44,19.4,3.81,509.7,259794.1
21,4.309456,7.281179,271.2,18.67,74.4,5.12,1452.7,2110337
22,6.416732,9.104424,809,8.99,612,6.8,8995,80900000
23,3.813307,7.100275,215,17.73,45.3,3.74,1212.3,1469671
24,2.397895,6.809701,154.8,17.07,11,1.21,906.6,821923.5
25,4.189655,7.860185,116,4.48,66,2.55,2592,6718464
26,2.341806,5.305789,23,11.41,10.4,5.16,201.5,40602.25
27,3.889777,7.87009,60.5,2.31,48.9,1.87,2617.8,6852877
28,1.808289,6.218998,18.4,3.66,6.1,1.21,502.2,252204.9
29,5.182907,7.94591,313,11.08,178.2,6.31,2824,7974976
30,1.098612,5.677439,6.4,2.19,3,1.03,292.2,85380.84
31,5.252274,8.938663,626,8.21,191,2.51,7621,58100000
32,3.258096,7.397255,105.8,6.48,26,1.59,1631.5,2661792
