T,Y,X2,X3,X4,X5,X6,X7
1989,2664.9,6484,4100.6,794,8101.4,112704,46991
1990,2937.1,6858,4954.3,859.4,8300.1,114333,38474
1991,3149.48,8087.1,5146.4,1015.1,9415.6,115823,55472
1992,3483.37,10284.5,5588,1415,10993.7,117171,51333
1993,4348.95,14143.8,6605.1,2284.7,12462.1,118517,48829
1994,5218.1,19359.6,9169.2,3012.6,16264.7,119850,55043
1995,6242.2,24718.3,11884.6,3819.6,20620,121121,45821
1996,7407.99,29082.6,13539.8,4530.5,24774.1,122389,46989
1997,8651.14,32412.1,13852.5,4810.6,27298.9,123626,53429
1998,9875.95,33387.9,14241.9,5231.4,29152.5,124761,50145
1999,11444.08,35087.2,14106.2,5470.6,31134.7,125786,49981
2000,13395.23,39047.3,13873.6,5888,34152.6,126743,54688
2001,16386.04,42374.6,14462.8,6375.4,37495.2,127627,52215
2002,18903.64,45975.2,14931.5,7005,42027.1,128453,47119
2003,21691,53092.9,14870.1,8181.3,45842,129227,54506
